"store_id","hub_id","store_segment","store_plan_price","store_latitude","store_longitude"
"938","27","FOOD","49","-23.622995","-46.699203"
"941","27","FOOD","49","-23.622995","-46.699203"
"944","35","FOOD","49","-22.97315","-43.37081"
"945","29","GOOD","29","-23.561052","-46.558975"
"946","29","GOOD","29","-23.561052","-46.558975"
"947","5","FOOD","49","-23.004908","-43.318363"
"948","27","GOOD","29","-23.622995","-46.699203"
"950","33","FOOD","49","-23.579067","-46.594006"
"951","33","GOOD","29","-23.579067","-46.594006"
"952","26","GOOD","29","-23.563759","-46.652622"
"953","26","GOOD","29","-23.561121","-46.666603"
"955","51","FOOD",,"-22.926905","-43.572533"
"960","33","GOOD","29","-23.579067","-46.594006"
"961","21","FOOD","49","-23.550407","-46.72129"
"964","26","GOOD","29","-23.54166","-46.657482"
"965","17","GOOD","29","-23.603558","-46.657894"
"966","35","FOOD","49","-22.97315","-43.37081"
"967","28","GOOD","29","-23.595215","-46.666397"
"968","28","GOOD","29","-23.586689","-46.67986"
"975","36","FOOD","49","-30.085743","-51.246"
"976","36","FOOD","49","-30.085743","-51.246"
"977","36","FOOD","49","-30.085743","-51.246"
"978","55","GOOD","29","-23.51542","-46.66532"
"983","35","FOOD","49","-22.97315","-43.37081"
"984","33","GOOD",,"-23.579067","-46.594006"
"989","36","GOOD","29","-30.085743","-51.246"
"995","31","GOOD","29","-23.631836","-46.735203"
"997","33","GOOD","29","-23.579067","-46.594006"
"998","20","FOOD","49","-22.996847","-43.3612"
"999","35","FOOD","49","-22.97315","-43.37081"
"1000","20","GOOD","49","-22.996847","-43.3612"
"1001","26","FOOD","49","-23.563759","-46.652622"
"1002","20","FOOD","49","-22.996847","-43.3612"
"1003","29","GOOD","29","-23.561052","-46.558975"
"1006","25","GOOD","29","-23.570765","-46.642044"
"1008","29","GOOD","29","-23.561052","-46.558975"
"1009","20","FOOD","49","-22.996847","-43.3612"
"1010","16","GOOD","49","-23.020708","-43.4897"
"1014","31","GOOD","29","-23.631836","-46.735203"
"1015","31","GOOD","29","-23.658852","-46.737877"
"1016","36","FOOD","49","-30.085743","-51.246"
"1018","36","FOOD","49","-30.085743","-51.246"
"1019","20","GOOD","49","-22.996847","-43.3612"
"1022","29","GOOD","29","-23.561052","-46.558975"
"1025","21","GOOD","29","-23.528072","-46.731194"
"1026","22","GOOD","29","-23.001696","-43.386494"
"1027","33","GOOD",,"-23.579067","-46.594006"
"1029","55","GOOD","29","-23.515577","-46.665665"
"1034","18","GOOD","29","-22.964613","-43.220245"
"1037","35","FOOD",,"-22.97315","-43.37081"
"1041","26","GOOD","49","-23.563759","-46.652622"
"1042","36","FOOD","49","-30.085743","-51.246"
"1044","36","GOOD","29","-30.085743","-51.246"
"1056","16","FOOD","49",,
"1057","36","FOOD",,"-30.085743","-51.246"
"1061","33","GOOD","29","-23.579067","-46.594006"
"1064","8","GOOD","49","-22.921474","-43.23482"
"1071","25","GOOD","29","-23.570765","-46.642044"
"1076","20","FOOD","49","-22.996847","-43.3612"
"1080","18","GOOD","29","-22.94733","-43.183533"
"1082","35","GOOD","29","-22.97315","-43.37081"
"1083","27","GOOD","29","-23.622995","-46.699203"
"1084","28","GOOD","29","-23.595776","-46.685986"
"1091","20","GOOD","29","-22.996847","-43.3612"
"1092","18","GOOD","29","-22.94733","-43.183533"
"1093","36","GOOD","29","-30.085743","-51.246"
"1095","22","GOOD","29","-23.001696","-43.386494"
"1096","8","GOOD","29","-22.921474","-43.23482"
"1097","28","GOOD","29","-23.595776","-46.685986"
"1098","33","GOOD","29","-23.579067","-46.594006"
"1099","29","GOOD","29","-23.561052","-46.558975"
"1101","26","GOOD","29","-23.563759","-46.652622"
"1103","27","GOOD","29","-23.622995","-46.699203"
"1104","13","GOOD",,"-22.887522","-43.283367"
"1105","25","GOOD","29","-23.570765","-46.642044"
"1106","21","GOOD","29","-23.550407","-46.72129"
"1107","21","FOOD","49","-23.550407","-46.72129"
"1114","35","FOOD","49","-22.97315","-43.37081"
"1117","21","GOOD","29","-23.550407","-46.72129"
"1118","35","GOOD","29","-22.97315","-43.37081"
"1119","28","FOOD",,"-23.595776","-46.685986"
"1120","27","GOOD","29","-23.622995","-46.699203"
"1121","20","GOOD","29","-22.996847","-43.3612"
"1122","27","GOOD","29","-23.622995","-46.699203"
"1123","8","GOOD",,"-22.921474","-43.23482"
"1125","36","FOOD","49","-30.085743","-51.246"
"1127","16","FOOD","49","-23.020708","-43.4897"
"1128","17","GOOD","29","-23.59955","-46.636757"
"1141","21","GOOD","29","-23.550407","-46.72129"
"1143","3","GOOD","49","-29.972736","-51.19582"
"1146","33","GOOD","29","-23.579067","-46.594006"
"1150","26","FOOD","49","-23.563759","-46.652622"
"1152","8","FOOD","29","-22.922909","-43.2349"
"1153","13","FOOD","49","-22.887522","-43.283367"
"1154","27","GOOD","29","-23.622995","-46.699203"
"1157","27","GOOD","29","-23.622995","-46.699203"
"1160","3","GOOD","49","-30.03821","-51.2217"
"1161","31","GOOD",,"-23.631836","-46.735203"
"1162","13","GOOD","29","-22.887522","-43.283367"
"1163","33","GOOD","29","-23.579067","-46.594006"
"1164","26","GOOD","29","-23.563759","-46.652622"
"1165","17","GOOD","29","-23.59955","-46.636757"
"1166","33","GOOD","29","-23.579067","-46.594006"
"1167","31","GOOD","29","-23.631836","-46.735203"
"1175","31","GOOD",,"-23.631836","-46.735203"
"1187","33","GOOD","29",,
"1199","31","GOOD","29","-23.631836","-46.735203"
"1204","18","GOOD",,,
"1205","29","GOOD","29","-23.561052","-46.558975"
"1208","16","FOOD","49","-23.020708","-43.4897"
"1210","26","FOOD","49","-23.561506","-46.668457"
"1213","21","GOOD","29","-23.550407","-46.72129"
"1214","21","GOOD","29","-23.550407","-46.72129"
"1215","17","GOOD","29","-23.59955","-46.636757"
"1218","20","FOOD","49","-22.996847","-43.3612"
"1220","33","GOOD","29","-23.579067","-46.594006"
"1224","31","GOOD",,"-23.631836","-46.735203"
"1230","27","GOOD","29","-23.622995","-46.699203"
"1232","33","GOOD",,"-23.579067","-46.594006"
"1233","3","GOOD","29","-30.029655","-51.21743"
"1235","33","GOOD","29","-23.579067","-46.594006"
"1236","33","GOOD","29","-23.579067","-46.594006"
"1237","33","GOOD","29","-23.579067","-46.594006"
"1238","33","GOOD","29","-23.579067","-46.594006"
"1239","33","GOOD","29","-23.579067","-46.594006"
"1242","35","GOOD","29","-22.97315","-43.37081"
"1246","31","GOOD","29","-23.631836","-46.735203"
"1247","25","GOOD","29","-23.570765","-46.642044"
"1254","31","GOOD","29","-23.631836","-46.735203"
"1259","26","GOOD","29","-23.563759","-46.652622"
"1263","33","GOOD","29","-23.579067","-46.594006"
"1271","21","GOOD",,"-23.550407","-46.72129"
"1272","20","GOOD","29","-22.996847","-43.3612"
"1273","35","GOOD","29","-22.97315","-43.37081"
"1274","28","GOOD","29","-23.595776","-46.685986"
"1276","35","GOOD","29","-22.97315","-43.37081"
"1278","35","GOOD","29","-22.97315","-43.37081"
"1279","8","GOOD","29","-22.921474","-43.23482"
"1280","33","GOOD","29","-23.579067","-46.594006"
"1283","27","GOOD","29","-23.622995","-46.699203"
"1288","31","GOOD","29","-23.631836","-46.735203"
"1290","26","GOOD","29","-23.563759","-46.652622"
"1292","18","GOOD",,,
"1293","35","GOOD","29","-22.97315","-43.37081"
"1300","29","GOOD","29","-23.561052","-46.558975"
"1303","13","GOOD",,"-22.887522","-43.283367"
"1304","25","GOOD","29","-23.570765","-46.642044"
"1307","8","FOOD","49","-22.921474","-43.23482"
"1314","27","GOOD","29","-23.622995","-46.699203"
"1317","31","GOOD","49","-23.631836","-46.735203"
"1318","33","GOOD","29","-23.579067","-46.594006"
"1321","31","FOOD","49","-23.631836","-46.735203"
"1324","3","FOOD",,"-30.038145","-51.20352"
"1325","31","GOOD","29","-23.629826","-46.735203"
"1330","31","GOOD",,"-23.631836","-46.735203"
"1332","20","GOOD","29","-22.996847","-43.3612"
"1333","20","GOOD","29","-22.996847","-43.3612"
"1335","8","GOOD","29","-22.921474","-43.23482"
"1338","31","FOOD","49","-23.631836","-46.735203"
"1344","31","GOOD",,"-23.631836","-46.735203"
"1345","29","GOOD","29","-23.561052","-46.558975"
"1378","33","GOOD",,"-23.579067","-46.594006"
"1381","13","GOOD",,"-22.887522","-43.283367"
"1383","13","GOOD","29","-22.887522","-43.283367"
"1395","21","GOOD",,"-23.550407","-46.72129"
"1397","21","GOOD","29","-23.550407","-46.72129"
"1399","3","FOOD","0","-30.038145","-51.20352"
"1401","27","FOOD","49","-23.622995","-46.699203"
"1404","31","GOOD","29","-23.631666","-46.735203"
"1406","26","FOOD","49","-23.563759","-46.652622"
"1409","17","GOOD","29","-23.59955","-46.636757"
"1411","29","GOOD","29","-23.561052","-46.558975"
"1412","29","GOOD","29","-23.561052","-46.558975"
"1413","20","GOOD","29","-22.996847","-43.3612"
"1415","8","GOOD","29","-22.921474","-43.23482"
"1416","13","GOOD","29","-22.887522","-43.283367"
"1419","8","GOOD","29","-22.921474","-43.23482"
"1428","8","GOOD",,"-22.921474","-43.23482"
"1431","20","GOOD","29","-22.996847","-43.3612"
"1432","33","GOOD",,"-23.579067","-46.594006"
"1433","33","GOOD","29","-23.579067","-46.594006"
"1435","8","GOOD","29","-22.921474","-43.23482"
"1437","20","GOOD","29","-22.996847","-43.3612"
"1438","13","GOOD","29","-22.887522","-43.283367"
"1442","31","GOOD","29","-23.631836","-46.735203"
"1454","36","GOOD","29","-30.085743","-51.246"
"1455","27","GOOD","29","-23.622995","-46.699203"
"1458","29","GOOD","29","-23.561052","-46.558975"
"1460","29","GOOD","29","-23.561052","-46.558975"
"1473","33","GOOD","29","-23.579067","-46.594006"
"1474","33","GOOD","29","-23.579067","-46.594006"
"1477","13","GOOD","29","-22.887522","-43.283367"
"1482","36","GOOD","29","-22.998898","-43.337105"
"1492","18","GOOD","29","-22.972849","-43.18826"
"1495","18","GOOD","29","-22.930807","-43.177547"
"1496","18","GOOD","29","-22.956842","-43.176537"
"1497","35","GOOD","29","-22.98237","-43.361244"
"1498","16","GOOD","29","-22.973898","-43.36743"
"1507","18","GOOD","29","-22.902939","-43.17981"
"1508","8","GOOD",,"-22.921474","-43.23482"
"1512","8","GOOD","29","-22.921474","-43.23482"
"1515","33","GOOD","29","-23.579067","-46.594006"
"1519","26","GOOD","29","-23.563759","-46.652622"
"1520","25","GOOD","29","-23.570765","-46.642044"
"1528","20","FOOD","49","-22.996847","-43.3612"
"1529","17","GOOD",,"-23.59955","-46.636757"
"1530","36","FOOD","49","-30.085743","-51.246"
"1538","33","GOOD","49","-23.579067","-46.59282"
"1539","21","GOOD","49","-23.550407","-46.72129"
"1551","3","GOOD",,,
"1556","36","FOOD","49","-30.085743","-51.246"
"1560","17","GOOD","29","-23.59955","-46.636757"
"1568","33","GOOD","29","-23.579067","-46.594006"
"1571","27","GOOD",,"-23.622995","-46.699203"
"1579","20","FOOD","49","-22.996847","-43.359634"
"1583","13","GOOD","29","-22.887522","-43.283367"
"1584","18","GOOD","29","-22.94733","-43.183533"
"1586","8","FOOD","49","-22.921474","-43.23482"
"1587","35","FOOD","49","-22.97315","-43.37081"
"1589","43","GOOD","29","-25.441221","-49.27769"
"1590","20","GOOD","29","-22.996847","-43.3612"
"1591","33","GOOD","29","-23.579067","-46.594006"
"1594","51","GOOD","29","-22.927336","-43.572533"
"1600","17","GOOD",,"-23.59955","-46.636757"
"1601","28","GOOD","29","-23.595776","-46.685986"
"1602","25","GOOD","29","-23.570765","-46.642044"
"1603","29","GOOD",,"-23.561052","-46.558975"
"1606","36","GOOD",,,
"1607","13","GOOD","29","-22.887522","-43.283367"
"1608","17","GOOD","29","-23.59955","-46.636757"
"1609","43","GOOD",,"-25.441221","-49.27769"
"1610","42","GOOD",,"-25.438766","-49.266533"
"1612","44","GOOD",,"-25.43514","-49.316788"
"1620","27","GOOD","29","-23.622995","-46.699203"
"1621","20","GOOD","29","-22.996847","-43.3612"
"1622","29","GOOD","29","-23.561052","-46.558975"
"1629","25","GOOD","29","-23.570765","-46.642044"
"1630","33","GOOD",,"-23.579067","-46.594006"
"1632","17","GOOD","29","-23.59955","-46.636757"
"1633","44","GOOD",,,
